TERYT;Wojewodztwo;Powiat;pow;typ;TOT;mlodzi;sredni;starsi;Przemysl;DPS;szkoly;X;Y
1815;podkarpackie;ropczycko-sędziszowski;546,4;ziemski;72846;12968;50771;9087;13;2;47;689196;245669
1410;mazowieckie;łosicki;769,5;ziemski;32881;5108;22419;5315;6;0;29;762522;491156
1418;mazowieckie;piaseczyński;618,6;ziemski;162478;29804;113985;18655;7;8;61;636050;462982
1425;mazowieckie;radomski;1524,1;ziemski;148374;26412;104600;17331;11;4;95;650551;387683
1427;mazowieckie;sierpecki;848,6;ziemski;53930;8901;37760;7217;18;2;37;547950;552233
1404;mazowieckie;gostyniński;612,4;ziemski;47012;7049;33434;6514;3;4;25;542308;502843
1405;mazowieckie;grodziski;365,6;ziemski;86185;14307;60338;11532;4;4;42;609243;467613
611;lubelskie;łukowski;1388,9;ziemski;110168;19760;75661;14685;27;4;84;723080;447994
618;lubelskie;tomaszowski;1481,6;ziemski;88130;13448;61317;13280;10;1;74;820611;299885
662;lubelskie;Chełm;35,2;grodzki;64797;8605;47749;8443;4;1;29;813959;372789
1202;małopolskie;brzeski;588,6;ziemski;90906;15974;63489;11431;16;2;48;618212;236197
1261;małopolskie;Kraków;325,7;grodzki;759269;97130;541964;120175;32;11;194;571918;242665
1020;łódzkie;zgierski;851,9;ziemski;164471;23508;117171;23730;15;4;45;533029;448755
807;lubuskie;sulęciński;1173,2;ziemski;36087;5856;26018;4152;4;1;18;231490;514281
1810;podkarpackie;łańcucki;450,3;ziemski;79422;13560;54781;11081;10;1;48;733760;251714
1601;opolskie;brzeski;872,9;ziemski;92289;14102;66173;11977;11;3;47;393248;325800
3018;wielkopolskie;ostrzeszowski;769,9;ziemski;55745;9556;39669;6531;7;3;32;433536;397221
1463;mazowieckie;Radom;111,4;grodzki;222348;32262;159128;30955;10;6;80;649881;396720
1438;mazowieckie;żyrardowski;530,5;ziemski;76534;11931;54090;10452;10;4;40;598326;460312
3016;wielkopolskie;obornicki;708,2;ziemski;58190;10296;42082;5787;13;1;30;355117;541160
3013;wielkopolskie;leszczyński;802,7;ziemski;52728;9727;37745;5243;8;0;17;327951;445586
1464;mazowieckie;Siedlce;31,7;grodzki;76756;11886;55817;9056;4;1;22;723973;482353
3063;wielkopolskie;Leszno;31,7;grodzki;64303;9780;46577;7946;1;1;29;333075;444748
3009;wielkopolskie;kolski;1006,7;ziemski;89479;14311;63350;11773;14;1;53;485049;486534
2062;podlaskie;Łomża;32,5;grodzki;63342;9101;47436;6808;3;0;31;704327;595180
3022;wielkopolskie;rawicki;551,4;ziemski;60227;10422;42842;6949;3;2;22;358171;421829
3023;wielkopolskie;słupecki;834,7;ziemski;59978;9762;42949;7204;6;3;30;425619;494808
2206;pomorskie;kościerski;1160,5;ziemski;70497;13758;49334;7327;8;4;42;434749;684342
2613;świętokrzyskie;włoszczowski;903,1;ziemski;46589;7154;32353;7069;9;4;42;568780;329914
3214;zachodniopomorskie;stargardzki;1513,6;ziemski;122043;18563;89595;13846;13;4;55;248757;612198
264;dolnośląskie;Wrocław;291,7;grodzki;630949;76500;455102;99347;23;5;194;359515;364095
2806;warmińsko-mazurskie;giżycki;1114,7;ziemski;57786;8918;41618;7237;2;1;9;684816;687421
2810;warmińsko-mazurskie;mrągowski;1060,1;ziemski;51650;8380;37482;5794;7;3;32;657810;663355
203;dolnośląskie;głogowski;441,6;ziemski;90246;14103;67092;9048;22;5;44;299183;426755
3202;zachodniopomorskie;choszczeński;1322,2;ziemski;50499;7963;36791;5781;3;1;29;274087;591720
2475;śląskie;Sosnowiec;90,9;grodzki;211971;24740;155939;31292;31;2;71;513866;267135
2412;śląskie;rybnicki;223;ziemski;78643;12402;56056;10184;9;3;34;456282;249757
2466;śląskie;Gliwice;133,4;grodzki;194898;25052;141111;28757;18;2;57;475057;270504
2468;śląskie;Jaworzno;151,9;grodzki;94637;12577;68673;13372;21;2;47;521504;258066
407;kujawsko-pomorskie;inowrocławski;1220,3;ziemski;165080;24068;120427;20572;19;8;87;452550;544550
402;kujawsko-pomorskie;brodnicki;1035,6;ziemski;77523;13484;55148;8852;7;2;36;528187;600600
418;kujawsko-pomorskie;włocławski;1466,9;ziemski;88798;14076;63137;11574;19;7;54;504072;544673
409;kujawsko-pomorskie;mogileński;672,5;ziemski;46904;7458;33776;5614;8;2;17;437385;533282
463;kujawsko-pomorskie;Toruń;115,3;grodzki;204547;27568;149528;27450;13;5;68;473270;572193
416;kujawsko-pomorskie;tucholski;1070,8;ziemski;48818;8610;34666;5433;12;2;30;429807;635699
2411;śląskie;raciborski;541,6;ziemski;110053;14647;79804;15593;12;2;71;447732;246889
2403;śląskie;cieszyński;727,8;ziemski;175046;27706;123902;23410;14;9;67;484982;206566
1807;podkarpackie;krośnieński;989,9;ziemski;111458;18654;77675;15125;21;2;48;700182;195635
1607;opolskie;nyski;1219,7;ziemski;141770;19604;102798;19375;16;3;80;381890;289483
261;dolnośląskie;Jelenia Góra;108,9;grodzki;82833;9834;59520;13482;5;4;36;269993;342067
225;dolnośląskie;zgorzelecki;835,4;ziemski;90393;12713;66032;11650;30;2;38;225933;373559
1422;mazowieckie;przasnyski;1213,7;ziemski;54294;9466;37622;7096;17;2;45;629766;584899
1461;mazowieckie;Ostrołęka;33,3;grodzki;52084;7873;38726;5487;5;1;25;674159;582327
3025;wielkopolskie;średzki;620,3;ziemski;55923;9288;40474;6126;13;2;48;384281;480694
3006;wielkopolskie;jarociński;586,2;ziemski;71695;11819;51330;8537;16;3;30;393991;461496
2262;pomorskie;Gdynia;134,6;grodzki;252705;33502;178683;40516;9;2;70;465271;737878
3263;zachodniopomorskie;Świnoujście;201,2;grodzki;41505;5138;30438;5933;3;0;21;191894;675573
207;dolnośląskie;kamiennogórski;394,3;ziemski;45910;6862;32914;6152;13;1;16;288806;325286
1008;łódzkie;pabianicki;490,4;ziemski;120659;15992;85781;18885;4;7;51;516418;423482
2006;podlaskie;kolneński;936,2;ziemski;39838;6867;27471;5440;3;0;39;695185;618101
1661;opolskie;Opole;148,5;grodzki;130879;16014;95550;19308;15;7;61;422740;312994
2815;warmińsko-mazurskie;ostródzki;1759,1;ziemski;107313;17776;77140;12367;13;2;58;560291;651991
2471;śląskie;Piekary Śląskie;39,7;grodzki;58188;7782;41643;8761;8;2;28;500141;275733
1429;mazowieckie;sokołowski;1126,7;ziemski;57424;8652;39329;9363;11;4;44;721859;519416
2609;świętokrzyskie;sandomierski;673,5;ziemski;81456;11832;56864;12717;12;0;53;684212;317478
1813;podkarpackie;przemyski;1207,2;ziemski;73501;12681;51537;9258;13;4;53;764442;216910
1862;podkarpackie;Przemyśl;46;grodzki;64918;9076;46207;9635;9;6;23;772307;219776
1432;mazowieckie;warszawski zachodni;531,7;ziemski;108000;18143;76283;13547;8;4;39;610448;490378
619;lubelskie;włodawski;1251,7;ziemski;39777;6038;28383;5350;27;3;31;803912;415345
663;lubelskie;Lublin;146,9;grodzki;348568;46588;251190;50778;13;3;95;748794;378421
1201;małopolskie;bocheński;646,6;ziemski;104400;18562;73122;12694;11;2;62;602699;233548
1263;małopolskie;Tarnów;72,1;grodzki;113482;15267;80903;17315;13;2;36;641632;241740
812;lubuskie;wschowski;622;ziemski;39424;6777;28365;4262;5;1;21;301684;444339
803;lubuskie;międzyrzecki;1382,1;ziemski;58966;8929;43184;6785;6;8;27;268139;520249
805;lubuskie;słubicki;995,3;ziemski;47488;7738;34656;5062;7;2;18;213156;503546
3015;wielkopolskie;nowotomyski;1007,7;ziemski;73322;12910;52695;7742;17;1;39;306516;501845
3028;wielkopolskie;wągrowiecki;1035,5;ziemski;69353;12274;49569;7496;7;1;31;383169;552506
2003;podlaskie;bielski;1379,5;ziemski;58462;7994;38828;11600;2;2;41;770342;549824
2012;podlaskie;suwalski;1301,3;ziemski;36412;6441;24894;5005;16;1;28;749146;706985
2212;pomorskie;słupski;2294,4;ziemski;97036;16439;70844;9714;21;5;54;380602;730261
2607;świętokrzyskie;ostrowiecki;614,5;ziemski;116205;15593;83000;17574;18;2;54;669076;344476
2610;świętokrzyskie;skarżyski;394;ziemski;79269;9966;56571;12724;14;1;54;625545;356879
2205;pomorskie;kartuski;1115,6;ziemski;119990;26349;82592;11000;16;4;76;440591;718468
2404;śląskie;częstochowski;1516,4;ziemski;136821;19904;97077;19809;23;4;104;523948;330528
3212;zachodniopomorskie;pyrzycki;723,1;ziemski;40914;6433;29631;4825;2;3;23;228509;592389
2474;śląskie;Siemianowice Śląskie;25,4;grodzki;64341;8470;46370;9498;5;1;33;501657;271688
2861;warmińsko-mazurskie;Elbląg;79,5;grodzki;124610;17567;91227;15818;7;4;48;528333;703929
3206;zachodniopomorskie;gryfiński;1861,5;ziemski;89387;14139;65982;9275;18;5;49;198276;582540
2462;śląskie;Bytom;69,2;grodzki;170792;22956;121087;26745;24;8;68;491208;277570
226;dolnośląskie;złotoryjski;573,8;ziemski;45788;6731;33859;5165;23;0;24;281573;362908
223;dolnośląskie;wrocławski;1113,8;ziemski;118902;20538;86188;12144;29;4;46;357809;354870
213;dolnośląskie;milicki;712,2;ziemski;37540;6314;26848;4336;3;5;19;380870;405974
211;dolnośląskie;lubiński;709;ziemski;106799;15517;78773;12510;20;3;53;308471;400842
408;kujawsko-pomorskie;lipnowski;1012,6;ziemski;67377;12049;47351;7918;23;1;46;514634;550033
419;kujawsko-pomorskie;żniński;980,8;ziemski;71462;11698;51415;8302;6;4;45;414948;551496
411;kujawsko-pomorskie;radziejowski;604,8;ziemski;42323;6414;30033;5870;5;1;24;473051;523176
410;kujawsko-pomorskie;nakielski;1115,9;ziemski;86642;14959;62484;9206;8;2;51;405611;581989
2801;warmińsko-mazurskie;bartoszycki;1301,8;ziemski;61313;9460;44389;7403;4;1;30;613485;706764
2417;śląskie;żywiecki;1036,6;ziemski;154160;24878;108199;21039;17;4;79;515432;193802
2011;podlaskie;sokólski;2045,9;ziemski;71967;10581;49502;11820;12;2;57;793383;627992
1805;podkarpackie;jasielski;828,1;ziemski;115747;18298;81769;15643;12;1;55;676559;200122
1602;opolskie;głubczycki;670,3;ziemski;47880;6756;34190;6909;6;8;30;416624;254122
1210;małopolskie;nowosądecki;1544,8;ziemski;206936;42345;141562;22965;20;0;122;625094;188546
862;lubuskie;Zielona Góra;277,3;grodzki;137668;18898;100532;18229;8;1;46;260927;456978
1063;łódzkie;Skierniewice;34,5;grodzki;47228;7037;34406;5785;3;1;19;580310;455293
810;lubuskie;żagański;1127,3;ziemski;82636;12602;59926;10079;7;0;38;252294;420303
2261;pomorskie;Gdańsk;264,7;grodzki;458822;60669;327201;70955;22;6;135;479858;721935
1061;łódzkie;Łódź;292,1;grodzki;728866;83818;518852;126182;25;11;219;533136;434182
1010;łódzkie;piotrkowski;1423;ziemski;91876;15377;63382;13050;18;2;62;551458;390443
2213;pomorskie;starogardzki;1339,8;ziemski;125758;22685;89587;13436;7;3;54;460529;670675
3062;wielkopolskie;Konin;82;grodzki;77530;10557;56337;10641;10;2;41;449685;488044
3064;wielkopolskie;Poznań;260,9;grodzki;557999;71375;402603;84012;22;6;177;357287;505927
1818;podkarpackie;stalowowolski;828,8;ziemski;109323;16008;79479;13808;21;1;43;715949;307112
1864;podkarpackie;Tarnobrzeg;85,1;grodzki;49265;6878;35841;6550;3;2;22;690988;305333
1420;mazowieckie;płoński;1374,3;ziemski;88899;14439;62483;11951;35;1;52;591127;531208
1426;mazowieckie;siedlecki;1597,3;ziemski;81307;14211;55183;11865;6;4;52;725768;485786
1403;mazowieckie;garwoliński;1280;ziemski;108547;19427;74944;14152;5;6;82;680225;443261
1409;mazowieckie;lipski;737,9;ziemski;36211;5057;25092;6016;6;2;28;679401;368925
604;lubelskie;hrubieszowski;1265,7;ziemski;68230;10018;47404;10739;2;1;48;843196;326926
607;lubelskie;kraśnicki;1001,7;ziemski;99853;15164;68915;15743;11;4;50;721055;343433
610;lubelskie;łęczyński;634,3;ziemski;57910;9503;42440;5895;12;0;37;776405;389470
612;lubelskie;opolski;807,5;ziemski;62837;9799;43614;9429;11;0;40;710500;366780
616;lubelskie;rycki;612,1;ziemski;58660;9055;41275;8303;8;1;42;702528;425803
664;lubelskie;Zamość;30,2;grodzki;63797;8910;47071;7816;3;2;24;799754;325768
1204;małopolskie;dąbrowski;528,4;ziemski;59672;9553;42112;7985;3;1;31;640810;264485
1206;małopolskie;krakowski;1226,4;ziemski;258536;42420;182770;33314;18;12;167;561661;248431
1018;łódzkie;wieruszowski;575,1;ziemski;42495;7068;29926;5486;2;2;34;452499;381051
811;lubuskie;żarski;1387,6;ziemski;99858;15597;72510;11740;17;4;78;220614;425724
802;lubuskie;krośnieński;1384,8;ziemski;56260;8724;41280;6230;7;1;23;222303;468145
1803;podkarpackie;dębicki;774,4;ziemski;135361;22846;95681;16826;32;3;58;668811;239530
1606;opolskie;namysłowski;745,3;ziemski;43070;6485;31100;5489;4;2;32;413257;350651
3002;wielkopolskie;czarnkowsko-trzcianecki;1800,4;ziemski;88457;15086;63377;9935;18;4;38;321713;565891
1462;mazowieckie;Płock;87,7;grodzki;123984;17577;90175;16228;9;1;53;548480;519085
2004;podlaskie;grajewski;963,4;ziemski;49488;8165;34911;6347;3;1;30;731089;637906
2611;świętokrzyskie;starachowicki;521,5;ziemski;94259;13170;65903;15170;9;2;48;650144;356276
2605;świętokrzyskie;konecki;1135,5;ziemski;84999;12098;59753;13081;10;3;48;593847;365825
2804;warmińsko-mazurskie;elbląski;1406,9;ziemski;58676;10202;41988;6450;7;2;27;541631;699628
2811;warmińsko-mazurskie;nidzicki;956,7;ziemski;34381;5864;24559;3886;1;2;20;599669;612973
2812;warmińsko-mazurskie;nowomiejski;690,8;ziemski;44125;8258;30718;5093;2;1;32;536302;619105
2472;śląskie;Ruda Śląska;77,4;grodzki;144014;19943;104394;19682;29;0;59;491041;266995
3201;zachodniopomorskie;białogardzki;841,8;ziemski;49402;7982;35758;5636;4;3;20;309131;683076
2416;śląskie;zawierciański;1000,1;ziemski;123922;16537;88023;19381;21;7;75;543342;297643
2463;śląskie;Chorzów;33,2;grodzki;120840;16573;84607;19660;8;2;53;497358;269036
2469;śląskie;Katowice;164,2;grodzki;303823;35705;216437;51679;44;8;164;500569;260742
201;dolnośląskie;bolesławiecki;1298,8;ziemski;90604;13930;65602;11083;32;4;32;258454;389596
413;kujawsko-pomorskie;sępoleński;787,6;ziemski;41697;7339;29402;4889;2;2;29;400998;620771
464;kujawsko-pomorskie;Włocławek;84;grodzki;115559;15674;84235;15654;12;3;40;504113;533298
2005;podlaskie;hajnowski;1617;ziemski;47031;5494;31530;10006;10;4;28;807712;547831
1203;małopolskie;chrzanowski;368,5;ziemski;128089;17529;91573;18963;22;2;54;531739;250467
3262;zachodniopomorskie;Szczecin;299,4;grodzki;403255;51559;290592;61100;19;8;134;209459;627213
2211;pomorskie;pucki;578,4;ziemski;77645;14714;55440;7490;14;3;41;459419;759426
1013;łódzkie;rawski;643,8;ziemski;49899;7739;35265;6872;3;0;35;595578;433777
1005;łódzkie;łowicki;984,3;ziemski;81053;12123;56514;12403;8;1;59;556187;471898
1015;łódzkie;skierniewicki;750,5;ziemski;39720;6431;26924;6296;4;0;34;582021;453860
2807;warmińsko-mazurskie;iławski;1379,3;ziemski;93149;16265;66607;10210;6;0;44;535520;645689
861;lubuskie;Gorzów Wielkopolski;85,4;grodzki;123508;17201;90597;15710;8;3;48;244680;547256
1416;mazowieckie;ostrowski;1212,8;ziemski;75067;12268;51808;10975;5;0;59;704367;552017
1430;mazowieckie;szydłowiecki;449,9;ziemski;40513;6680;28443;5377;33;1;34;628546;378202
1812;podkarpackie;niżański;782,8;ziemski;68162;10925;48614;8618;16;0;40;732492;293688
1820;podkarpackie;tarnobrzeski;519,2;ziemski;53444;8414;38174;6847;11;1;29;699348;299361
1414;mazowieckie;nowodworski;692;ziemski;77989;12475;55890;9569;5;3;42;613009;512410
1421;mazowieckie;pruszkowski;245,4;ziemski;154490;24704;108506;21285;9;3;63;623931;472069
1401;mazowieckie;białobrzeski;636,3;ziemski;33822;5950;23454;4397;5;1;29;634484;418955
1435;mazowieckie;wyszkowski;873,9;ziemski;73408;12796;51535;9045;8;8;46;665366;534542
602;lubelskie;biłgorajski;1675,1;ziemski;103810;16653;72310;14771;25;1;60;768572;308945
603;lubelskie;chełmski;1878,7;ziemski;81567;12854;57330;11360;13;4;58;809419;376617
613;lubelskie;parczewski;948,6;ziemski;36646;5642;25297;5652;9;2;29;776640;422381
617;lubelskie;świdnicki;466,6;ziemski;73020;10721;51494;10796;16;3;36;769583;369055
1002;łódzkie;kutnowski;883,4;ziemski;102144;13501;73340;15300;8;6;63;527097;487336
1006;łódzkie;łódzki wschodni;497,9;ziemski;68148;10451;48699;8964;17;1;24;548443;424646
1806;podkarpackie;kolbuszowski;770,5;ziemski;63333;10942;44229;8125;11;3;55;700210;275912
1608;opolskie;oleski;969,9;ziemski;66078;9077;47311;9658;9;3;57;462046;334798
1611;opolskie;strzelecki;741,6;ziemski;77763;10172;56217;11390;8;6;69;453662;296143
3031;wielkopolskie;złotowski;1653,6;ziemski;71940;12482;51803;7610;13;0;41;361473;618419
2063;podlaskie;Suwałki;65,2;grodzki;68968;11252;50575;7139;10;3;31;756784;700288
3011;wielkopolskie;kościański;719,6;ziemski;79213;12737;57256;9200;6;2;27;343433;469128
3005;wielkopolskie;grodziski;641,4;ziemski;50486;9237;36196;5037;4;0;17;317817;480471
3024;wielkopolskie;szamotulski;1114,8;ziemski;88918;14892;64176;9788;17;2;42;322370;527467
2661;świętokrzyskie;Kielce;109,3;grodzki;201451;25885;145352;30218;17;7;58;613682;333163
2805;warmińsko-mazurskie;ełcki;1108,2;ziemski;88696;15085;64189;9426;4;2;35;724045;666717
202;dolnośląskie;dzierżoniowski;476,8;ziemski;105798;13907;76004;15879;7;3;42;337177;321217
2214;pomorskie;tczewski;694,1;ziemski;115628;19890;82784;12910;12;3;49;481572;672746
3208;zachodniopomorskie;kołobrzeski;721,5;ziemski;78494;11518;57215;9708;13;4;30;278419;692605
3261;zachodniopomorskie;Koszalin;97,9;grodzki;109394;13886;79597;15914;4;2;57;318534;708347
2406;śląskie;kłobucki;885,4;ziemski;86016;12950;60517;12525;8;2;61;490872;340660
2405;śląskie;gliwicki;662,4;ziemski;110199;15869;78502;15795;26;4;57;470212;277364
2407;śląskie;lubliniecki;819,2;ziemski;77786;11769;55600;10426;7;5;52;485434;311877
2461;śląskie;Bielsko-Biała;124;grodzki;174098;23989;123749;26361;11;8;79;502787;216080
262;dolnośląskie;Legnica;56,1;grodzki;103529;14076;75753;13694;10;6;47;301550;374722
